Transaction ID,Sender Name,Sender UPI ID,Receiver Name,Receiver UPI ID,Amount (INR),Status,fraudulent,Hour,Day,Month,Year
4d3db980-46cd-4158-a812-dcb77055d0d2,Tiya Mall,4161803452@okaxis,Mohanlal Golla,7776849307@okybl,0.0,FAILED,1,4,22,6,2024
099ee548-2fc1-4811-bf92-559c467ca792,Mohanlal Bakshi,8908837379@okaxis,Mehul Sankaran,7683454560@okaxis,8404.55,SUCCESS,0,6,19,6,2024
d4c05732-6b1b-4bab-90b9-efe09d252b99,Kismat Bora,4633654150@okybl,Diya Goel,2598130823@okicici,941.88,SUCCESS,0,4,4,6,2024
e8df92ee-8b04-4133-af5a-5f412180c8ab,Ayesha Korpal,7018842771@okhdfcbank,Rhea Kothari,2246623650@okaxis,8926.0,SUCCESS,0,9,9,6,2024
e7d675d3-04f1-419c-a841-7a04662560b7,Jivin Batta,1977143985@okybl,Baiju Issac,5245672729@okybl,2800.55,SUCCESS,0,8,25,6,2024
865cfff6-e345-4bae-a4ed-2c35c3a67fc7,Kismat Rama,5438757524@okicici,Pihu Walia,7567741566@okicici,1865.15,SUCCESS,0,11,17,6,2024
10b78cb6-0a05-429a-8cf5-7ac40b97cd37,Ivana Tak,0518391082@okaxis,Ehsaan Baria,2677492476@okhdfcbank,4829.13,SUCCESS,0,20,24,6,2024
2582bdc0-4ea3-4a92-8329-72cd84b429f6,Sara Khanna,8203474864@oksbi,Tiya Virk,9427710364@oksbi,4680.11,FAILED,1,13,23,6,2024
9a981fdf-f953-4fc6-8a7d-bfc26f1ea4dc,Anvi Dalal,8893886778@okhdfcbank,Pari Lal,0762409234@okaxis,1563.3,FAILED,1,8,30,6,2024
718cebcd-cec3-49d5-a24b-d4f6df6ca25f,Rasha Das,3530841200@okicici,Advik Mahal,2825774999@oksbi,6248.55,SUCCESS,0,9,24,6,2024
f7392e11-52b1-49b0-8da8-e71128d99808,Sumer Chandran,2881077862@oksbi,Amira Yohannan,3359034997@okicici,1272.55,FAILED,1,18,5,6,2024
35f5cee7-d7a2-42a7-b94f-1d3e54b0bd2e,Raghav Sridhar,5240349344@okhdfcbank,Shayak Jain,0884485131@okaxis,5465.41,FAILED,1,17,17,6,2024
71ef7fd4-ea73-432e-9f9d-23ce85d33048,Nirvaan Zachariah,1391606006@okhdfcbank,Ranbir Shukla,6956979142@okicici,5858.65,SUCCESS,0,18,28,6,2024
24159fef-1532-4cef-baf2-a5270e6e61e0,Rohan Gola,2532387543@okhdfcbank,Gatik Khare,0523734464@okicici,4246.53,SUCCESS,0,21,28,6,2024
